episode,frames,left_err_mean,left_err_max,left_soft_frames,left_hard_frames,left_contact_frames,left_max_penetration_mm,right_err_mean,right_err_max,right_soft_frames,right_hard_frames,right_contact_frames,right_max_penetration_mm
0,350,0.05460791141107687,0.4683408629486364,160,57,15,0.08,0.04994111026054937,0.33729531699267945,132,28,0,0.0
1,241,0.0780999137542248,0.6857354164126517,165,64,0,0.0,0.07168800101863405,0.529261662033234,138,16,0,0.0
2,240,0.07980253605009403,0.6067321418258778,170,76,0,0.0,0.07000743823025986,0.434101241616676,162,40,0,0.0
3,248,0.08402210477129818,0.6053057958468312,174,57,0,0.0,0.0665919229342849,0.4792935401000991,146,34,0,0.0
4,249,0.08086303744835173,0.5771725143642827,164,76,0,0.0,0.08304687423121954,0.5495378658416057,171,46,0,0.0
5,237,0.08175273435422334,0.576775252715459,170,60,0,0.0,0.07695545369958656,0.6718585273980971,143,41,0,0.0
6,234,0.06150448896549369,0.5706297581419635,106,30,0,0.0,0.06828190038873308,0.60693383451536,118,46,0,0.0
7,245,0.07245720346987493,0.5041508333389648,149,59,0,0.0,0.07402682561736469,0.5532820975556304,152,60,0,0.0
8,255,0.061076507213595296,0.532727870103677,118,40,0,0.0,0.08030680680342596,0.5230117069822942,170,39,0,0.0
9,249,0.06874271601599864,0.5501337236613233,149,54,0,0.0,0.06126659356244341,0.5548432820384934,132,42,0,0.0
10,241,0.06032661480432887,0.47780851515038264,143,22,0,0.0,0.06321600846116011,0.5368406809597135,127,31,0,0.0
11,255,0.06878069706165099,0.5955064686063885,154,54,0,0.0,0.06518782111600216,0.5484764189952486,138,42,0,0.0
12,289,0.05310823620939021,0.6265408925699416,121,35,35,0.08,0.07466740914565854,0.5418584621297138,157,44,0,0.0
13,245,0.05800319144008743,0.5157605482396719,119,26,15,0.09,0.07273754736069996,0.6172417693245269,145,41,0,0.0
14,266,0.0639685849552404,0.4320418235845038,166,44,0,0.0,0.06587798081704424,0.5242189833068194,165,31,0,0.0
15,238,0.05683713389721556,0.5087774734325272,126,34,0,0.0,0.06855487430389322,0.5651331511936022,148,30,0,0.0
16,240,0.06579585148002084,0.555332410547353,140,59,0,0.0,0.05685412096993887,0.507602931448803,104,34,0,0.0
17,211,0.07427217843071279,0.6053924037194294,129,61,0,0.0,0.07245758520680423,0.6061613111887083,130,38,0,0.0
18,243,0.06457897141671416,0.4645909595828284,139,50,0,0.0,0.06445772265712245,0.5615295941135579,144,28,0,0.0
