episode,left_vel_viol_frames,left_freeze_jump_frames,left_max_vel_frac,right_vel_viol_frames,right_freeze_jump_frames,right_max_vel_frac,frames
122,5,0,1.7457198208587559,11,0,2.1921636541342893,180
123,10,0,1.7924958814750311,11,0,2.5593684395951324,206
124,9,0,2.8036391723691105,10,0,1.8843212100359636,207
125,11,0,1.908497379980661,16,0,1.6687910285811258,208
126,12,0,1.709971994930147,13,0,2.7263410681184403,214
127,19,0,1.8416261718516818,15,0,1.6953199982301554,224
128,4,0,2.4566131926994723,7,0,1.6066196996366395,210
129,9,0,2.795836071571853,13,0,1.807186847202188,203
130,9,0,1.4299938353107675,10,0,2.4426313560125137,209
131,25,0,2.1412974547414967,17,0,1.8616655471787185,228
132,3,0,1.7483854453224394,2,0,1.114062279206634,209
133,5,0,1.3675711740167686,7,0,1.2623350184631683,232
134,3,0,1.2581263037101358,5,0,1.3742803607660687,249
135,3,0,2.09928866443798,9,0,1.3173254399267742,210
136,3,0,1.6437947214959117,11,0,1.6721294944129224,239
137,5,0,1.4525400988807422,4,0,2.337851328517327,189
138,1,0,1.3060490905156905,3,0,1.4310131077552366,207
139,1,0,1.2112960797212415,1,0,1.682498115750871,218
140,3,0,1.2615789952683472,4,0,1.5294760414385864,203
141,5,0,1.5986550025065513,0,0,0.8914504514697997,209
142,3,0,1.5101513366189134,6,0,1.430113362351624,235
143,6,0,1.4237999050756125,6,0,1.6705592928779842,195
144,5,0,1.665267370491793,4,0,1.3794427842556463,214
145,3,0,1.211603541770432,3,0,1.524199524035085,242
146,6,0,2.4999785696537926,9,0,1.3135190776334906,253
147,4,0,1.5058801167332339,6,0,1.5612419675776998,223
148,4,0,2.0046536332670577,5,0,1.761746101415829,219
149,4,0,2.0773480296021085,6,0,1.6389039298297114,227
150,2,0,1.0104972630767677,1,0,1.080659208917117,236
151,4,0,1.457288599970689,5,0,1.3756259646775502,249
152,8,0,2.6471131032380812,4,0,1.3664788707962692,232
153,8,0,2.0066735874274397,7,0,2.139034927062114,242
154,1,0,1.5297913687960123,4,0,1.315405007787599,241
155,4,0,2.511489090741876,8,0,1.5826444525659482,222
156,8,0,2.1650129676206746,3,0,1.3690305462083934,227
157,6,0,1.8373009673503886,7,0,1.6277527103223681,269
158,5,0,1.6853514350701653,3,0,1.7937743515772486,203
159,4,0,1.921901295269344,9,0,1.8022381382662562,213
160,7,0,1.5704099656062231,6,0,1.5406622973189767,211
161,5,0,1.8303222938617754,6,0,1.5602451272543658,238
162,4,0,1.5446382106318288,7,0,1.3628276781229713,218
163,4,0,1.7544653285881848,6,0,1.4732701912764263,196
164,10,0,2.1269931401541493,6,0,1.7735154626476501,221
165,6,0,2.129505927378264,6,0,1.5634295045475564,219
166,7,0,1.6046430046715503,1,0,1.1355381458286113,207
167,5,0,1.8984151273652725,5,0,1.6770460270878917,196
168,8,0,1.75071947554121,5,0,1.2579745390125991,214
169,7,0,1.5159559340964301,8,0,1.5303238677852395,210
170,3,0,1.8916867136841404,10,0,2.4690704108878556,216
171,7,0,1.7547102256855056,6,0,1.848388887434403,211
172,10,0,1.6291981394675763,6,0,1.726810189805491,218
173,3,0,1.4507326867997132,6,0,1.663118134465595,220
174,10,0,1.8557640634043053,4,0,1.581027774209621,234
175,9,0,2.006030419722214,8,0,1.9737454745011205,219
176,7,0,2.0036622469154217,7,0,1.5285615205992484,215
177,6,0,1.9845322084745685,2,0,1.6730978211108685,214
178,9,0,1.643099356745125,4,0,2.1663196813297363,208
179,6,0,1.952537385873148,7,0,2.0890201470230236,207
180,3,0,2.1450386598435833,4,0,1.9245079299212642,214
181,8,0,1.8898330035387276,8,0,1.6374206041993704,216
182,5,0,1.4794533960912606,4,0,1.433606871902772,203
183,5,0,2.2001490870769977,2,0,1.1673247165188065,209
184,2,0,2.090330078358181,3,0,1.1613483651766356,212
185,7,0,2.1401492982334256,4,0,1.4574044345101518,205
186,9,0,2.30547325089645,5,0,1.4442994009344032,195
187,10,0,1.869832775995861,5,0,1.9089296144195818,212
188,6,0,1.8468405136975539,7,0,1.967379580026825,225
189,5,0,1.4363118229076308,8,0,1.4777627123347212,211
190,3,0,1.8063198757262715,2,0,1.9632241946806084,219
191,6,0,1.5901711950329451,3,0,1.7929248982878558,225
192,2,0,1.4836034187273173,8,0,1.7175301986300844,228
193,10,0,2.1655108058805568,3,0,1.2730215886944003,227
194,7,0,1.8062673211667009,4,0,1.362785848983721,227
195,4,0,2.0840621427228143,4,0,1.223750652551178,226
196,12,0,1.5649053223836729,2,0,1.0288223587225591,227
197,8,0,1.697628823711173,6,0,1.2240525371365698,226
198,8,0,1.9959167058738845,1,0,1.234842309979108,211
199,5,0,1.529207905930571,2,0,1.459146957798241,202
200,7,0,1.8867458700564437,6,0,1.5240214501775324,223
201,2,0,1.323815391762778,1,0,1.025684458250758,225
202,6,0,2.127686717334882,5,0,1.7532590940079027,222
203,9,0,1.9240277886049115,12,0,1.7270615221550039,233
204,12,0,2.7385154927243702,8,0,1.5640106435719283,218
205,8,0,1.897315414268399,8,0,2.113852891448348,206
206,10,0,2.3764635566995613,8,0,2.053326126953023,221
207,10,0,2.383086324990536,11,0,1.7159582095250927,220
208,8,0,2.066418468781392,7,0,1.795634914395671,204
209,10,0,2.206085964738469,11,0,1.8958764203753833,249
210,7,0,2.293364072597471,6,0,2.3546484092814417,225
211,10,0,2.5459573740262353,8,0,1.6131411127055841,199
212,11,0,2.390440209433365,11,0,2.2664965371803203,223
213,11,0,2.1630119617028587,9,0,2.1786077953910645,207
214,12,0,2.959638623362398,13,0,2.547334517995403,198
215,13,0,2.316926390985819,14,0,2.320681896911082,217
216,11,0,2.6433634962939943,10,0,2.217407539671904,201
217,10,0,1.8730069641397469,9,0,1.4592574296275433,200
218,9,0,2.252067629222997,9,0,1.6389804919543234,206
219,12,0,2.0561175963484684,10,0,2.2964195660898086,186
220,13,0,2.1572674265791374,12,0,1.8636644080124705,179
221,9,0,2.4861409898701456,12,0,1.8347583277063815,188
222,12,0,1.790318263635936,9,0,2.240161697639094,195
223,7,0,2.3524507706577475,9,0,1.7667096066322516,200
224,9,0,3.1267989467413178,9,0,1.6950497176380759,199
225,10,0,1.8298217742468135,8,0,2.297178389577492,193
226,10,0,1.9872316180122616,13,0,1.856563464732202,212
227,6,0,2.010213691161264,8,0,2.188406896909989,201
228,9,0,1.9083676023947818,11,0,1.6656696047582156,198
229,10,0,2.427223395936924,6,0,1.4951707845431004,200
230,8,0,1.9102667168195517,10,0,1.7847617808818361,223
231,12,0,1.7349944005381412,6,0,1.4984228943632856,204
232,9,0,2.1111788654054133,7,0,1.7609130937709279,203
233,12,0,2.3620217782378536,9,0,1.5694539731416455,200
234,11,0,2.071272794018502,8,0,1.5560911719641919,195
235,13,0,2.522994964147821,10,0,1.840485344643579,197
236,11,0,2.0819476261066048,5,0,1.6763910614203132,241
237,10,0,1.9982026504582184,11,0,2.2973700170872204,201
238,8,0,2.3759380111038513,10,0,1.5805458453232144,209
239,7,0,2.0643005557820815,12,0,2.0751584350436554,186
240,12,0,2.4324130693160586,8,0,2.002322105646361,209
241,9,0,1.8816133989190191,11,0,1.992042326540068,214
242,6,0,2.353368151609171,7,0,2.4797590072653697,194
243,11,0,1.9016062974246661,9,0,1.6489677921065626,207
244,8,0,2.398111030046669,9,0,1.6309220720271098,184
245,9,0,2.0850363684019366,13,0,2.343303417180306,197
246,11,0,2.316834152371061,16,0,1.5358004642876422,231
247,12,0,1.6958358909475768,12,0,1.7842716291731842,224
248,11,0,1.9530697242350608,8,0,1.7965207742073475,221
249,7,0,2.2227389673562765,10,0,2.1515582853424746,210
250,11,0,2.3268559851186437,9,0,2.469720371359285,224
251,8,0,2.2175814702381036,9,0,1.4721187064372836,201
252,13,0,1.851443864099162,14,0,2.0841987130748962,207
253,9,0,2.6024374374345927,10,0,1.9741251543804705,235
254,9,0,2.0415353148805604,9,0,2.0670747504718823,213
255,9,0,2.609172643881928,11,0,1.9268060299819612,198
256,11,0,1.6863653448044742,12,0,1.779281091098002,218
257,14,0,2.134586737741144,7,0,1.64855966823035,202
258,7,0,2.0762182853283377,14,0,1.9574242448852306,203
259,9,0,2.163937207962517,11,0,1.9033431004885841,236
260,6,0,1.8674422585634014,3,0,1.4411990394337244,238
261,6,0,2.0307414306268994,6,0,1.2400026672093665,240
262,3,0,1.6941469947610908,7,0,1.9033295149561782,249
263,6,0,1.6695124918546922,8,0,1.719371753299134,234
264,5,0,1.4234094997759419,9,0,1.662057252189833,245
265,8,0,1.995340750802668,5,0,1.6776348526634937,244
266,8,0,1.550915084117463,1,0,1.1909463822329283,219
267,6,0,2.0636030459472305,8,0,1.3603636915613155,254
268,5,0,1.5415392968789685,3,0,1.3799876356079335,243
269,10,0,2.0929463658883902,7,0,1.2625514333774162,247
270,11,0,2.2133365276322094,8,0,1.712116542723254,248
271,11,0,1.964956350062388,5,0,1.6815957503878967,237
272,9,0,1.726995024549016,11,0,2.1101854106048825,226
273,7,0,1.8847380713724244,7,0,1.3461121105532934,238
274,10,0,1.8885421992031415,10,0,1.5040562590077136,211
275,3,0,1.4845958776209849,5,0,1.3033373467446285,219
276,7,0,1.8691433102262511,8,0,1.753916008310764,218
277,6,0,1.6260577363977002,4,0,1.6638437497012366,217
278,8,0,1.6958030357428102,7,0,1.604692910194187,213
279,12,0,1.9113936009812378,8,0,1.9461332373997091,236
280,6,0,1.913959121521929,6,0,1.445561425392129,225
281,6,0,1.7609588555642959,8,0,1.9088881427943418,228
282,5,0,1.8165562168802665,5,0,1.7477413838321865,209
283,6,0,1.8184692743514532,5,0,1.2957698476804134,217
284,7,0,1.719303825637103,5,0,1.4912080992486438,222
285,5,0,1.4993705016266423,7,0,1.7091443499954062,233
286,5,0,2.0771678425407227,8,0,2.058169548012807,225
287,9,0,1.6027367399665664,4,0,1.2641455883510704,250
288,9,0,2.0490686713567547,6,0,1.804926643626624,244
289,4,0,1.2845063687737144,8,0,1.6339512882396623,199
290,4,0,1.588710750299288,2,0,1.0759875733394677,221
291,5,0,1.8547390707356652,9,0,1.6300758363638135,250
292,8,0,1.4423917061733766,8,0,1.435500266103371,244
293,5,0,2.488730463849553,10,0,1.3721251874849014,221
294,9,0,1.6690963455462524,8,0,1.8395568807578246,226
295,12,0,2.0141459877648122,7,0,1.2863300477422297,235
296,9,0,1.9634558637595334,6,0,1.434675123766705,267
297,11,0,2.0271755858843052,8,0,1.5647429686326246,225
298,13,0,1.5785151657425114,7,0,2.002054148895351,245
299,10,0,1.6072514268935238,7,0,1.6793373343823859,235
300,6,0,1.465313359454573,9,0,1.4617496597960433,225
301,6,0,1.6348536536026363,4,0,1.195728132125869,271
302,6,0,1.8549414236657142,4,0,1.261664798630912,243
303,11,0,1.8170334980845337,7,0,1.7103500659964488,216
304,11,0,2.0358814095585482,9,0,2.0031779941879457,221
305,6,0,1.6622152733825566,9,0,2.206933272943797,241
306,10,0,1.958673756352582,10,0,1.6832689159579126,259
307,7,0,1.819852496058802,7,0,1.8436368306477866,262
308,9,0,1.8423873191804347,6,0,1.7229538649292138,251
309,15,0,1.795497569108761,6,0,1.4411838450882701,229
310,8,0,1.4907755072957123,12,0,1.7678410002700238,227
311,3,0,1.533837354854959,4,0,1.5158037900767034,229
312,9,0,1.605108845427476,8,0,1.4944082071583045,285
313,11,0,2.263732238849687,4,0,1.2382268951182835,223
314,8,0,1.8556392910145756,6,0,2.0163031961257327,226
315,7,0,1.9889087162363948,8,0,1.669609735665599,216
316,6,0,1.8190248511240612,4,0,2.1510053899249466,254
317,8,0,2.0759490772782905,9,0,1.9005662891675772,220
318,7,0,1.6460896039305124,6,0,1.8124215673466695,270
319,7,0,2.0798745811156354,5,0,1.343676010084471,270
320,10,0,2.042138977287606,8,0,1.59646916184521,222
321,8,0,1.9365500743432391,7,0,1.7109905523465947,231
322,6,0,1.770326437672321,3,0,1.7979865816511647,247
323,4,0,1.4063818224749343,10,0,1.5956000452852295,210
324,8,0,1.7971811025850868,7,0,1.9292042339656508,249
325,10,0,1.2846593847702885,10,0,1.9625250760327098,250
326,12,0,2.1048623078645927,5,0,1.6243327312961349,255
327,5,0,1.891953419136113,9,0,1.5831299565924615,247
328,3,0,1.9560403081498605,5,0,1.5887064601311596,234
329,6,0,1.817218332828059,4,0,1.7946198722125237,226
330,10,0,1.3546525262803633,9,0,1.9583630766772948,261
331,7,0,1.554401918263695,9,0,1.9730595838716172,243
332,12,0,1.8689005582129945,6,0,1.944000308811949,239
333,10,0,2.253611374721144,4,0,2.040957750996295,258
334,8,0,1.8578848365157017,5,0,1.9612396344072838,246
335,15,0,2.0141467027928335,6,0,1.467732299250882,252
336,7,0,1.9460585169714752,5,0,1.4818455223367684,252
337,8,0,1.6563988779426875,3,0,1.4249003332005075,245
338,7,0,1.6439529214456408,6,0,1.5162423028189906,221
339,8,0,1.8357457814038995,5,0,1.5845535773830175,235
340,7,0,2.0426098232396805,2,0,1.5529305693527118,212
341,10,0,1.7635962364211353,5,0,1.6041753763455713,237
342,8,0,1.7202001132618958,7,0,1.51397888161733,233
343,10,0,1.4090052602853564,11,0,1.9085113230270778,209
344,11,0,1.5657322522903925,12,0,1.7559275608918956,202
345,14,0,2.084410718883234,12,0,2.162479265826935,201
346,16,0,1.9285914549513326,15,0,2.169326374159615,216
347,17,0,2.343194375407047,13,0,1.9860350186184916,226
348,9,0,2.011102470991833,10,0,1.8460815114528653,197
349,13,0,2.1780111045072275,13,0,2.0263139771185497,240
350,18,0,2.269947977439494,9,0,2.168037893665099,220
351,14,0,1.94699234356739,13,0,2.1142127293001045,183
352,8,0,1.9247531845325956,13,0,2.1348362825206033,233
353,11,0,1.988541549347419,13,0,1.7763868364244841,225
354,11,0,2.732422381440229,12,0,1.8196805318196614,206
355,15,0,2.074605539626128,19,0,2.3180500575214085,235
356,16,0,1.8940849176678298,15,0,2.334458520555906,238
357,12,0,1.7648793542054912,16,0,1.8823670384535476,213
358,14,0,1.8195003447582752,14,0,2.3658575460585163,233
359,12,0,1.6198359200697119,14,0,2.3109190830642423,229
360,11,0,2.0321418130067608,8,0,1.6769387728846856,227
361,15,0,1.7641864920527794,12,0,2.1309858566255033,224
362,13,0,2.0958604625895005,13,0,2.185881417938495,219
363,8,0,2.0614157752298468,13,0,2.449706737041018,196
364,10,0,2.260014808166562,16,0,2.170068573245802,201
365,14,0,1.9709400620592585,6,0,2.088433109017475,197
366,13,0,2.376857179625328,9,0,1.7412862896122243,213
367,13,0,1.7261684521563072,11,0,2.020820774344341,193
368,10,0,2.0822488316606083,15,0,2.4709881160411817,191
369,13,0,2.1348069663717277,12,0,2.312238846034694,211
370,6,0,1.6278113426201208,12,0,2.5124754718973623,207
371,10,0,2.6649244512505152,13,0,2.1477085744753954,188
372,9,0,2.483503609013307,14,0,1.9783738508834765,220
373,6,0,1.7277601045318864,12,0,2.4895838497930636,205
374,10,0,2.810525785999972,12,0,1.9384123648249088,205
375,12,0,2.1880472378152374,14,0,2.5190151181808513,224
376,11,0,1.8306451290134258,13,0,1.6882741121075329,210
377,13,0,2.20502021547261,10,0,1.977646667385739,216
378,14,0,1.9430797102344297,14,0,1.6843904374094383,222
379,19,0,2.2997221017635314,15,0,2.114339289259888,221
380,19,0,2.261344402772308,16,0,2.3299881653662737,207
381,17,0,2.1443836941760046,14,0,2.0750881835405552,196
382,17,0,2.2446005915957854,13,0,1.8569163310607504,219
383,13,0,2.240610020208495,14,0,2.0166954201750227,244
384,16,0,2.8858359335942163,9,0,1.8726726885397544,225
385,16,0,2.1456646668762964,11,0,2.021659680970419,234
386,12,0,2.1425224762363673,16,0,2.0581716930968716,193
387,18,0,1.9328437265944456,15,0,1.732557227527287,226
388,18,0,1.8786167164814391,10,0,2.0877309515004856,227
389,12,0,2.1136680567048227,11,0,1.8429146523461981,221
390,7,0,1.3354653433150299,14,0,1.8286355427593535,234
391,12,0,1.6649248720695546,13,0,1.7115186005403797,205
392,9,0,1.9058278228628598,12,0,2.0871743021858453,232
393,8,0,2.006344853294613,10,0,1.6140706491333707,235
394,9,0,1.492115164843587,7,0,1.5379187348009637,224
395,12,0,1.7345814718557975,10,0,1.5969678938901186,173
396,14,0,1.8015434885434911,11,0,1.9176994464143615,191
397,17,0,2.4092967496560433,12,0,1.8734692297555657,214
398,8,0,2.309594314897641,12,0,1.8049942137746438,220
